INF_ID,COL_ENG_NM,COL_KOR_NM,COL_EXP
OA-19500,TYPE,요청파일 타입,"xml : xml파일, xls : 엑셀파일, json : json파일"
OA-19500,SERVICE,서비스명,LOCALDATA_093014_SP
OA-19500,START_INDEX,요청시작위치,정수입력
OA-19500,END_INDEX,요청종료위치,정수입력
OA-19540,KEY,인증키,OpenAPI에서 발급받은 인증키
OA-19540,TYPE,요청파일 타입,"xml : xml파일, xls : 엑셀파일, json : json파일"
OA-19540,SERVICE,서비스명,LOCALDATA_093017_MP
OA-19540,START_INDEX,요청시작위치,정수입력
OA-19540,END_INDEX,요청종료위치,정수입력
OA-19644,KEY,인증키,OpenAPI에서 발급받은 인증키
OA-19644,TYPE,요청파일 타입,"xml : xml파일, xls : 엑셀파일, json : json파일"
OA-19644,SERVICE,서비스명,LOCALDATA_103201_GC
OA-19644,START_INDEX,요청시작위치,정수입력
OA-19644,END_INDEX,요청종료위치,정수입력
OA-19830,KEY,인증키,OpenAPI에서 발급받은 인증키
OA-19830,TYPE,요청파일 타입,"xml : xml파일, xls : 엑셀파일, json : json파일"
OA-19830,SERVICE,서비스명,LOCALDATA_104101_SD
OA-19830,START_INDEX,요청시작위치,정수입력
OA-19830,END_INDEX,요청종료위치,정수입력
OA-19851,KEY,인증키,OpenAPI에서 발급받은 인증키
OA-19851,TYPE,요청파일 타입,"xml : xml파일, xls : 엑셀파일, json : json파일"
OA-19851,SERVICE,서비스명,LOCALDATA_104101_GD
OA-19851,START_INDEX,요청시작위치,정수입력
OA-19851,END_INDEX,요청종료위치,정수입력
OA-19831,KEY,인증키,OpenAPI에서 발급받은 인증키
OA-19831,TYPE,요청파일 타입,"xml : xml파일, xls : 엑셀파일, json : json파일"
OA-19831,SERVICE,서비스명,LOCALDATA_104101_GJ
OA-19831,START_INDEX,요청시작위치,정수입력
OA-19831,END_INDEX,요청종료위치,정수입력
OA-19857,KEY,인증키,OpenAPI에서 발급받은 인증키
OA-19857,TYPE,요청파일 타입,"xml : xml파일, xls : 엑셀파일, json : json파일"
OA-19857,SERVICE,서비스명,LOCALDATA_104201_DD
OA-19857,START_INDEX,요청시작위치,정수입력
OA-19857,END_INDEX,요청종료위치,정수입력
OA-16151,KEY,인증키,OpenAPI에서 발급받은 인증키
OA-16151,TYPE,요청파일 타입,"xml : xml파일, xls : 엑셀파일, json : json파일"
OA-16151,SERVICE,서비스명,LOCALDATA_114801
OA-16151,START_INDEX,요청시작위치,정수입력
OA-16151,END_INDEX,요청종료위치,정수입력
OA-20199,KEY,인증키,OpenAPI에서 발급받은 인증키
OA-20199,TYPE,요청파일 타입,"xml : xml파일, xls : 엑셀파일, json : json파일"
OA-20199,SERVICE,서비스명,LOCALDATA_115001_GN
OA-20199,START_INDEX,요청시작위치,정수입력
OA-20199,END_INDEX,요청종료위치,정수입력
OA-20214,KEY,인증키,OpenAPI에서 발급받은 인증키
OA-20214,TYPE,요청파일 타입,"xml : xml파일, xls : 엑셀파일, json : json파일"
OA-20214,SERVICE,서비스명,LOCALDATA_115002_SM
OA-20214,START_INDEX,요청시작위치,정수입력
OA-20214,END_INDEX,요청종료위치,정수입력
OA-2289,KEY,인증키,OpenAPI에서 발급받은 인증키
OA-2289,TYPE,요청파일 타입,"xml : xml파일, xls : 엑셀파일, json : json파일"
OA-2289,SERVICE,서비스명,SeoulNambuWomenResourcesClass
OA-2289,START_INDEX,요청시작위치,정수입력
OA-2289,END_INDEX,요청종료위치,정수입력
OA-20398,KEY,인증키,OpenAPI에서 발급받은 인증키
OA-20398,TYPE,요청파일 타입,"xml : xml파일, xls : 엑셀파일, json : json파일"
OA-20398,SERVICE,서비스명,fcltOpenInfo_SC
OA-20398,START_INDEX,요청시작위치,정수입력
OA-20398,END_INDEX,요청종료위치,정수입력
OA-9991,KEY,인증키,OpenAPI에서 발급받은 인증키
OA-9991,TYPE,요청파일 타입,"xml : xml파일, xls : 엑셀파일, json : json파일"
OA-9991,SERVICE,서비스명,GangseoPublicHygieneBizLocManage
OA-9991,START_INDEX,요청시작위치,정수입력
OA-9991,END_INDEX,요청종료위치,정수입력
OA-10635,KEY,인증키,OpenAPI에서 발급받은 인증키
OA-10635,TYPE,요청파일 타입,"xml : xml파일, xls : 엑셀파일, json : json파일"
OA-10635,SERVICE,서비스명,DjListLoanCompany
OA-10635,START_INDEX,요청시작위치,정수입력
OA-10635,END_INDEX,요청종료위치,정수입력
OA-11468,KEY,인증키,OpenAPI에서 발급받은 인증키
OA-11468,TYPE,요청파일 타입,"xml : xml파일, xls : 엑셀파일, json : json파일"
OA-11468,SERVICE,서비스명,SpModelRestaurantApply
OA-11468,START_INDEX,요청시작위치,정수입력
OA-11468,END_INDEX,요청종료위치,정수입력
OA-10341,KEY,인증키,OpenAPI에서 발급받은 인증키
OA-10341,TYPE,요청파일 타입,"xml : xml파일, xls : 엑셀파일, json : json파일"
OA-10341,SERVICE,서비스명,DongdeamoonPublicHygieneBizPublicUseFacility
OA-10341,START_INDEX,요청시작위치,정수입력
OA-10341,END_INDEX,요청종료위치,정수입력
OA-10764,KEY,인증키,OpenAPI에서 발급받은 인증키
OA-10764,TYPE,요청파일 타입,"xml : xml파일, xls : 엑셀파일, json : json파일"
OA-10764,SERVICE,서비스명,SdAdminMesure
OA-10764,START_INDEX,요청시작위치,정수입력
OA-10764,END_INDEX,요청종료위치,정수입력
OA-2384,KEY,인증키,OpenAPI에서 발급받은 인증키
OA-2384,TYPE,요청파일 타입,"xml : xml파일, xls : 엑셀파일, json : json파일"
OA-2384,SERVICE,서비스명,SeodaemunAdminMesure
OA-2384,START_INDEX,요청시작위치,정수입력
OA-2384,END_INDEX,요청종료위치,정수입력
OA-11046,KEY,인증키,OpenAPI에서 발급받은 인증키
OA-11046,TYPE,요청파일 타입,"xml : xml파일, xls : 엑셀파일, json : json파일"
OA-11046,SERVICE,서비스명,ScFoodHygieneBizLocManageDong
OA-11046,START_INDEX,요청시작위치,정수입력
OA-11046,END_INDEX,요청종료위치,정수입력
OA-2524,KEY,인증키,OpenAPI에서 발급받은 인증키
